cca,Lat,Lon,haCorr,Perimetro,PerArea,F0,F7,F14,F21,F28,F35,F42,Prom,Prim,Ult,Decaim,PC1,PC2,F0mm,F7mm,F14mm,F21mm,F28mm,F35mm,F42mm
1,-31.725468,-64.846039,58.3,3296,56.5351629502573,39.8370497427101,36.4906930944667,32.0229185793882,32.3119501729442,25.4988704599724,29.7269868496284,25.5759965715356,31.6377807815208,38.1638714185884,26.9339512937121,0.172508382876442,4.62,0.03,10.3257632933105,9.45838765008576,8.30034049577742,8.37525748482714,6.60930722322485,7.70523499142367,6.62929831134202
2,-31.757595,-64.845089,46,2826,61.4347826086957,35.8469726696308,35.221542764668,33.2952898550725,29.8945981554677,23.1893397733279,28.8695652173913,22.7952966168818,29.8732292932057,35.5342577171494,24.951400535867,0.174964735227208,4.21,0.04,9.2915353159683,9.12942388460196,8.63013913043479,7.74867984189723,6.0106768692466,7.48299130434783,5.90854088309576
3,-31.737936,-64.84489,45.5,3292,72.3516483516484,42.5604395604396,39.1208791208791,33.7464531476575,35.8597718151437,25.1268544436695,30.8168498168498,25.2806194161091,33.2159810458212,40.8406593406593,27.0747745588761,0.202691553176948,4.94,0.22,11.0316659340659,10.1401318681319,8.74708065587283,9.29485285448524,6.51288067179914,7.98772747252747,6.55273655265548
4,-31.700301,-64.853793,48.8,3147,64.4877049180328,31.6871584699454,29.2144808743169,23.2203398614379,23.6221370567933,17.2320678074846,19.3374316939891,17.5810281958752,23.1278062799775,30.4508196721312,18.0501758991163,0.255678128396322,2.67,0.3,8.21331147540984,7.57239344262295,6.0187120920847,6.12285792512081,4.46655197570002,5.01226229508197,4.55700250837086
5,-31.714639,-64.846186,44.6,2769,62.085201793722,13.4820627802691,12.1838565022422,9.69839093393839,9.28142331132475,5.73538438930408,7.56875934230194,6.58702809492538,9.21955790775797,12.8329596412556,6.6303906088438,0.318679412984418,-0.43,0.09,3.49455067264574,3.15805560538117,2.51382293007683,2.40574492229538,1.48661163370762,1.96182242152466,1.70735768220466
6,-31.703134,-64.809773,49.7,3046,61.2877263581489,17.5553319919517,18.8464118041583,13.1388329979879,12.9260410950552,12.0724346076459,8.60618254984452,8.46318459716026,13.086917091972,18.200871898055,9.71393391821689,0.304029984507038,0.43,0.13,4.55034205231388,4.88498993963783,3.40558551307847,3.3504298518383,3.12917505030181,2.2307225169197,2.19365744758394
7,-31.670243,-64.802146,40.1,2525,62.9675810473815,30.2213216957606,33.6159600997506,27.0864505403159,24.2794528829442,21.7040731504572,21.2136325852037,22.6446532478328,25.8236491717521,31.9186408977556,21.8541196611645,0.187167650163006,3.32,-0.05,7.83336658354115,8.71325685785536,7.02080798004987,6.29323418725913,5.6256957605985,5.49857356608479,5.86949412183826
8,-31.762869,-64.819446,51.1,2967,58.0626223091977,7.24168297455969,6.32485322896282,5.10775010814419,4.37547585760599,3.39921722113503,2.96414512900106,2.5723343594592,4.56935126840971,6.78326810176125,2.9785655698651,0.389752853806029,-1.46,-0.02,1.87704422700587,1.63940195694716,1.32392882803097,1.13412334229147,0.8810771037182,0.768306417437074,0.666749065971824
9,-31.67211,-64.804251,46.6,3082,66.137339055794,36.0836909871245,32.156652360515,30.0447067238913,29.8380803745611,23.3941344778255,22.9470672389127,21.6595135908441,28.0176922505249,34.1201716738197,22.6669051025274,0.201687905443705,3.79,0.1,9.35289270386266,8.33500429184549,7.78758798283262,7.73403043308623,6.06375965665236,5.94787982832618,5.61414592274678
10,-31.764523,-64.835755,14.7,1713,116.530612244898,10.7619047619048,8.62190897884925,6.26902960442139,0.979682411538655,0.212835772499949,3.09297032430352,0.194310818674583,4.30466323888459,9.69190687037701,1.16670563849268,0.785109628409766,-1.57,0.48,2.78948571428571,2.23479880731773,1.62493247346603,0.253933681070819,0.0551670322319868,0.801697908059473,0.0503653642004519
11,-31.765245,-64.834085,58.4,3770,64.5547945205479,4.90239726027397,4.03895547945206,2.94767301517698,1.51578765435321,1.23801369863014,1.23344051680075,0.562552743469929,2.34840290973672,4.47067636986301,1.01133565296694,0.631034865025757,-1.96,0.01,1.27070136986301,1.04689726027397,0.764036845533874,0.392892160008351,0.320893150684932,0.319707781954754,0.145813671107405
12,-31.712383,-64.846262,34,2863,84.2058823529412,5.05571780209812,2.24752594084326,1.18276819858807,0.529781924625216,0.43059749963398,0.51427734750048,0.203640417633601,1.45204416156039,3.65162187147069,0.382838421589354,0.810215794044175,-2.16,0.03,1.31044205430383,0.582558723866574,0.306573517074029,0.137319474862856,0.111610871905128,0.133300688472124,0.0527835962506293
13,-31.749944,-64.837278,40.6,2491,61.3546798029557,8.08904000651465,7.07531430854711,5.43994615356643,2.89705652300774,2.22167487684729,3.67487684729064,1.92485335799008,4.47468029625199,7.58217715753088,2.607135027376,0.48826084036607,-1.49,0.12,2.0966791696886,1.83392146877541,1.41003404300442,0.750917050763606,0.575858128078818,0.952528078817734,0.498921990391029
14,-31.736056,-64.814194,24.6,1950,79.2682926829268,9.34636039665439,7.62582870237797,4.81667930779458,2.82364840462145,2.19537283476591,2.91165997406053,1.61492483192272,4.47635349317108,8.48609454951618,2.24065254691639,0.582230749588276,-1.5,0.22,2.42257661481282,1.97661479965637,1.24848327658036,0.73188966647788,0.569040638771325,0.75470226527649,0.418588516434369
15,-31.715055,-64.815167,56.2,3060,54.4483985765125,10.8755106596195,9.98995413778584,7.65824752630929,6.94263762145328,7.46975088967972,6.3852721766458,5.92820474333734,7.89279682211868,10.4327323987027,6.59440926988762,0.225423808853106,-0.7,-0.1,2.81893236297337,2.58939611251409,1.98501775881937,1.79953167148069,1.93615943060498,1.65506254818659,1.53659066947304
16,-31.741694,-64.835056,42.8,2860,66.8224299065421,9.53046313864911,9.83493836330555,7.87148460082214,6.73529541170576,4.79322429906542,6.9595468114987,5.53650504386135,7.32306538127258,9.68270075097733,5.76309205147516,0.253765458959142,-0.83,-0.06,2.47029604553785,2.5492160237688,2.0402888085331,1.74578857071413,1.24240373831776,1.80391453354046,1.43506210736886
17,-31.712389,-64.820583,32.6,2947,90.398773006135,0.103924187074988,0.0858582293153107,0,0,0,0,0,0.0271117737700427,0.0948912081951494,0,1,-2.45,-0.25,0.0269371492898369,0.0222544530385285,0,0,0,0,0
18,-31.680123,-64.842082,53,3105,58.5849056603774,5.94716981132075,5.22104647949216,3.45807473436451,3.29832898572296,2.47010220362216,2.07358490566038,1.88326829944686,3.47879648851854,5.58410814540646,2.14231846957646,0.445456851833129,-1.7,-0.03,1.54150641509434,1.35329524748437,0.896332971147282,0.854926873099391,0.640250491178863,0.53747320754717,0.488143143216625
19,-31.722805,-64.807083,49.6,2117,42.6814516129032,2.84779620896801,2.89421540155248,2.09494270190576,2.11561962969904,1.75528317616738,1.69431922573323,1.67117768496157,2.15333628985535,2.87100580526024,1.70692669562073,0.254280531531538,-1.98,-0.21,0.738148777364509,0.750180632082402,0.543009148333973,0.548368608017991,0.454969399262584,0.439167543310054,0.43316925594204
20,-31.709778,-64.831028,38,2929,77.0789473684211,8.46247164702548,5.10177297881475,2.11772436180988,0.704323318706874,0.352850877192983,0.175217041692171,0.0606593018748807,2.42500278958815,6.78212231292012,0.196242406920011,0.943756907298905,-1.97,0.3,2.19347265090901,1.32237955610878,0.548914154581121,0.182560604208822,0.0914589473684211,0.0454162572066106,0.0157228910459691
21,-31.699043,-64.807381,44,2770,62.9545454545455,26.8409090909091,25.5492424242424,19.5416666666667,16.9757231404959,17.2689393939394,13.2765151515152,14.7424242424242,19.1707743014561,26.1950757575758,15.0959595959596,0.268802079351732,1.79,0.23,6.95716363636364,6.62236363636364,5.0652,4.40010743801653,4.47610909090909,3.44127272727273,3.82123636363637
22,-31.758278,-64.823417,43.4,2898,66.7741935483871,0.43778801843318,0.320066782758297,0.11552864097661,0.0569915717426146,0.0273776645970986,0.0282756750161317,0.00732836481654792,0.141908102620068,0.378927400595738,0.0209939014765928,0.895009836346273,-2.43,-0.22,0.11347465437788,0.0829613100909505,0.0299450237411373,0.0147722153956857,0.00709629066356797,0.00732905496418134,0.00189951216044922
23,-31.70013,-64.844203,35.2,2959,84.0625,13.8475855171389,7.45580808080808,4.23735106058278,1.41870810682488,0.81353048646884,0.433021050918778,0.226175097747617,4.0617399143557,10.6516967989735,0.490908878378412,0.911886161532896,-1.64,0.61,3.58929416604241,1.93254545454545,1.09832139490306,0.367729141289008,0.210867102092723,0.112239056398147,0.0586245853361824
24,-31.694944,-64.827306,44.7,3512,78.5682326621924,7.64876957494407,6.1882923191648,5.32265313880034,3.21194782149117,2.98047589993899,3.1772792942845,1.39959517548988,4.27557331773054,6.91853094705444,2.51911678990446,0.466155792181285,-1.53,0.07,1.9825610738255,1.60400536912752,1.37963169357705,0.832536875330511,0.772539353264185,0.823550793078542,0.362775069486977
25,-31.73806,-64.82907,61.5,4056,65.9512195121951,1.059519582925,0.948168064127086,0.654806895308531,0.204039223384799,0.0010840108401084,0,0,0.40965968236936,1.00384382352604,0.0003613369467028,0.999280352340486,-2.37,-0.17,0.274627475894159,0.245765162221741,0.169725947263971,0.05288696670134,0.000280975609756098,0,0
26,-31.3871388888889,-64.8031388888889,18.4,1976,107.391304347826,14.749372909699,13.4097437888199,12.6176242236025,12.4615942028986,12.56,12.2425465838509,11.613198757764,12.8077257809478,14.0795583492594,12.1385817805383,0.0740318176313031,0.44,-0.38,3.82303745819398,3.47580559006211,3.27048819875776,3.2300452173913,3.255552,3.17326807453416,3.01014111801242
27,-31.3851944444444,-64.7965555555556,19.1,2132,111.623036649215,5.14988589072359,4.43044128646223,3.82485664422837,3.56680240449874,3.4477603257708,3.24200116346713,2.97120418848168,3.80470741480465,4.79016358859291,3.2203218925732,0.195973352640192,-1.61,-0.2,1.33485042287555,1.14837038145101,0.991402842183994,0.924515183246073,0.893659476439791,0.840326701570681,0.77013612565445
28,-31.44425,-64.8572222222222,16,1938,121.125,28.1982142857143,27.9013392857143,27.4482142857143,26.2816666666667,24.82975,24.1553571428572,24.0641071428571,26.1255212585034,28.0497767857143,24.3497380952381,0.0706120791171901,3.45,-0.57,7.30897714285714,7.23202714285714,7.11457714285714,6.812208,6.4358712,6.26106857142857,6.23741657142857
29,-31.4404166666667,-64.8062777777778,9.47,1356,143.189017951426,47.3887464172575,45.382410620003,43.9885352240157,40.6898979232665,36.6293558606125,34.0684869512747,32.6323729069241,40.1114008433363,46.3855785186303,34.4434052396038,0.147746176232359,6.53,-0.17,12.2831630713531,11.7631208327048,11.4018283300649,10.5468215417107,9.49432903907075,8.8305518177704,8.45831105747473
30,-31.4153333333333,-64.81075,27.2,2469,90.7720588235294,4.45535714285714,3.77468487394958,2.92909663865546,2.13209033613445,1.35451680672269,0.961805555555556,0.723039215686275,2.33294150993731,4.11502100840336,1.01312052598817,0.604878095039402,-1.96,-0.03,1.15482857142857,0.978398319327732,0.759221848739496,0.552637815126051,0.351090756302521,0.2493,0.187411764705882
31,-31.4153055555556,-64.80525,22.5,2446,108.711111111111,6.10095238095238,5.60222222222222,4.99555555555556,4.40079365079365,3.81079365079365,3.55333333333333,3.42888888888889,4.55607709750567,5.8515873015873,3.59767195767196,0.238528257303,-1.44,-0.16,1.58136685714286,1.452096,1.294848,1.14068571428571,0.987757714285714,0.921024,0.888768
32,-31.5817777777778,-64.8457777777778,23.5,2067,87.9574468085106,0.561094224924012,0.399290780141844,0.295035460992908,0.230614657210402,0.182127659574468,0.159827760891591,0.157168186423506,0.28359410430839,0.480192502532928,0.166374535629855,0.485360292715796,-2.39,-0.23,0.145435623100304,0.103496170212766,0.0764731914893617,0.0597753191489362,0.0472074893617021,0.0414273556231003,0.0407379939209727
33,-31.5777777777778,-64.8449166666667,23.7,1927,81.3080168776371,10.3749246534057,9.75015069318867,10.0265220012055,8.71448663853727,6.76708860759494,6.1036769138035,6.40325497287523,8.30572921151583,10.0625376732972,6.42467349809122,0.220647636364301,-0.61,-0.13,2.68918047016275,2.5272390596745,2.59887450271248,2.25879493670886,1.75402936708861,1.58207305605787,1.65972368896926
