plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam
Phoradendron_ensifolium,Pipraeidea_melanonota,Blendinger,(b) Mashers,4.13,9.3,6.3
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),(a) Gulpers,4.0625,30,13.3575
Phoradendron_ensifolium,Turdus_rufiventris,Di_Pauli,(a) Gulpers,4.06,14.50625,6.3
Myrsine_coriacea,Piranga_flava,Pascotto_(2007),(b) Mashers,4.05904059,11.7,3.262
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),(a) Gulpers,4.03030303,12.51891892,13.3575
Ilex_paraguariensis,Turdus_rufiventris,Colussi_e_Prestes_(2011),(a) Gulpers,4.013953488,14.50625,6.807
Amomyrtella_guilii,Chlorospingus_ophthalmicus,Blendinger,(b) Mashers,4,9,10.6
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),(a) Gulpers,4,30,13.3575
Ilex_paraguariensis,Pitangus_sulphuratus,Colussi_e_Prestes_(2011),(a) Gulpers,4,16.35,6.807
Lacistema_hasslerianum,Elaenia_chiriquensis,Melo_e_Oliveira_(2009),(a) Gulpers,4,11,5.85
Miconia_albicans,Empidonomus_varius,Gondim_(2002),(a) Gulpers,4,11.5,7.62
Miconia_chamissois,Crotophaga_ani,Am?ncio_&_Melo_(2008),(a) Gulpers,4,17.13333333,5.4
Miconia_stenostachya,Cyanocorax_chrysops,Gondim_(2002),(a) Gulpers,4,19.5,7.4
Vassobia_breviflora,Thraupis_sayaca,Palacio_et_al.,(b) Mashers,3.94,12,9.96
Euterpe_edulis,Turdus_flavipes,C?rtes_(2003),(a) Gulpers,3.933333333,13.21818182,13.3575
Podocarpus_parlatorei,Cyanocorax_chrysops,Blendinger,(a) Gulpers,3.93,19.5,6
Pera_glabrata,Cyclarhis_gujanensis,Francisco_et_al._(2007),(a) Gulpers,3.921568627,11.1,3.7075
Curatella_americana,Tangara_cayana,Pascotto_et_al_(2012),(b) Mashers,3.89261745,8.65,13.9275
Ilex_paraguariensis,Mimus_saturninus,Colussi_e_Prestes_(2011),(a) Gulpers,3.890243902,12.15,6.807
Curatella_americana,Piranga_flava,Pascotto_et_al_(2012),(b) Mashers,3.886925795,11.7,13.9275
Ilex_paraguariensis,Turdus_leucomelas,Colussi_e_Prestes_(2011),(a) Gulpers,3.856287425,14.1125,6.807
Acnistus_arborescens,Thraupis_sayaca,Athi?_e_Dias_(2010),(b) Mashers,3.846153846,12,7.135
Ilex_paraguariensis,Chiroxiphia_caudata,Colussi_e_Prestes_(2011),(a) Gulpers,3.825136612,11.08787879,6.807
Ocotea_corymbosa,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,3.790697674,25,5.7
Acnistus_arborescens,Tangara_cayana,Athi?_e_Dias_(2010),(b) Mashers,3.773584906,8.65,7.135
Xylopia_sericea,Coereba_flaveola,Correia_(1997),(b) Mashers,3.75,5.922222222,7.4
Miconia_cinnamomifolia,Cacicus_haemorrhous,Correia_(1997),(a) Gulpers,3.738317757,12.1125,3.2
Curatella_americana,Mimus_saturninus,Pascotto_et_al._(2012),(a) Gulpers,3.720930233,12.15,13.9275
Myrsine_coriacea,Thraupis_sayaca,Pascotto_(2007),(b) Mashers,3.703703704,12,3.262
Miconia_ligustroides,Dacnis_cayana,Allenspach_et_al._(2012),(b) Mashers,3.696682464,8.03,5.715
Miconia_albicans,Manacus_manacus,Correia_(1997),(a) Gulpers,3.676470588,10.5826087,7.62
Myrsine_coriacea,Tyrannus_melancholicus,Francisco_e_Galetti_(2001),(a) Gulpers,3.666666667,14.63333333,3.262
Myrsine_coriacea,Elaenia_albiceps,Blendinger,(a) Gulpers,3.64,9.2,3.262
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),(a) Gulpers,3.636363636,12.51891892,13.3575
Xylopia_aromatica,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,3.636363636,14.1125,4.3
Prunus_mahaleb,Garrulus_glandarius,Jordano_and_Schupp,(b) Mashers,3.63,17.2,8.8
Alchornea_triplinervia,Dacnis_cayana,Correia_(1997),(b) Mashers,3.623188406,8.03,7.15
Schefflera_morototoni,Myiozetetes_cayanensis,Purifica??o_et_al._(2015),(a) Gulpers,3.601440576,12.86666667,9.2
Xylopia_aromatica,Camptostoma_obsoletum,Gondim_(2002),(a) Gulpers,3.6,7.08125,4.3
Aegiphyla_sellowiana,Ramphocelus_bresilius,Correia_(1997),(b) Mashers,3.565891473,11.73061224,7.1
Miconia_ligustroides,Turdus_amaurochalinus,Allenspach_et_al._(2012),(a) Gulpers,3.546099291,12.48,5.715
Schefflera_morototoni,Thraupis_palmarum,Purifica??o_et_al._(2015),(b) Mashers,3.545200373,12,9.2
Miconia_langsdorffii,Tangara_cayana,Gondim_(2002),(b) Mashers,3.533333333,8.65,5.9
Alchornea_glandulosa,Myiodynastes_maculatus,Zimmermann_(1996),(a) Gulpers,3.5,15.92,4.4
Davilla_elliptica,Myiodynastes_maculatus,Gondim_(2002),(a) Gulpers,3.5,15.92,5.5
Doliocarpus_dentatus,Casiornis_rufus,Gondim_(2002),(a) Gulpers,3.5,10.16,6.317807018
Miconia_chamissois,Turdus_leucomelas,Am?ncio_&_Melo_(2008),(a) Gulpers,3.483870968,14.1125,5.4
Myrsine_coriacea,Turdus_albicollis,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,3.47826087,12.51891892,3.262
Miconia_albicans,Cacicus_haemorrhous,Correia_(1997),(a) Gulpers,3.463203463,12.1125,7.62
Pera_glabrata,Turdus_leucomelas,Francisco_et_al._(2007),(a) Gulpers,3.459119497,14.1125,3.7075
Schefflera_morototoni,Icterus_pyrrhopterus,Purifica??o_et_al._(2015),(a) Gulpers,3.439490446,7.87,9.2
Myrsine_coriacea,Ramphocelus_carbo,Pascotto_(2007),(b) Mashers,3.428571429,10,3.262
Myrsine_coriacea,Tersina_viridis,Pascotto_(2007),(b) Mashers,3.384615385,15.2,3.262
Myrsine_coriacea,Thraupis_sayaca,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,3.370786517,12,3.262
Miconia_albicans,Tachyphonus_cristatus,Correia_(1997),(b) Mashers,3.333333333,9.385714286,7.62
Miconia_langsdorffii,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,3.333333333,14.1125,5.9
Talauma_ovata,Tyrannus_melancholicus,Cazetta_et_al._(2002),(a) Gulpers,3.333333333,14.63333333,7.3
Myrsine_coriacea,Camptostoma_obsoletum,Pascotto_(2007),(a) Gulpers,3.286384977,7.08125,3.262
Guarea_guidonia,Cacicus_haemorrhous,Correia_(1997),(a) Gulpers,3.268817204,12.1125,11
Phoradendron_tucumanense,Pipraeidea_melanonota,Di_Pauli,(b) Mashers,3.25,9.3,6.3
Pera_glabrata,Empidonomus_varius,Francisco_et_al._(2007),(a) Gulpers,3.246753247,11.5,3.7075
Curatella_americana,Thraupis_palmarum,Pascotto_et_al_(2012),(b) Mashers,3.225806452,12,13.9275
Lindera_benzoin,Catharus_ustulatus,Malmborg_and_Willson,(a) Gulpers,3.2,11.1,9
Myrsine_coriacea,Dacnis_cayana,Pascotto_(2007),(b) Mashers,3.2,8.03,3.262
Ilex_paraguariensis,Phylloscartes_ventralis,Colussi_e_Prestes_(2011),(a) Gulpers,3.184210526,6.6,6.807
Coussarea_hydrangeifolia,Tangara_cayana,Gondim_(2002),(b) Mashers,3.181818182,8.65,7.4
Acnistus_arborescens,Ramphocelus_carbo,Athi?_e_Dias_(2010),(b) Mashers,3.174603175,10,7.135
Curatella_americana,Coryphospingus_cucullatus,Pascotto_et_al_(2012),(b) Mashers,3.141891892,7.79,13.9275
Myrsine_coriacea,Tangara_cayana,Pascotto_(2007),(b) Mashers,3.141361257,8.65,3.262
Phoradendron_tucumanense,Zonotrichia_capensis,Di_Pauli,(b) Mashers,3.13,9,6.3
Miconia_albicans,Dacnis_cayana,Gondim_(2002),(b) Mashers,3.125,8.03,7.62
Schefflera_morototoni,Pitangus_sulphuratus,Purifica??o_et_al._(2015),(a) Gulpers,3.122362869,16.35,9.2
Trema_micrantha,Myiozetetes_similis,Correia_(1997),(a) Gulpers,3.113207547,12.86666667,3.366666667
Lindera_benzoin,Catharus_fuscescens,Malmborg_and_Willson,(a) Gulpers,3.1,12,9
Myrsine_coriacea,Tangara_cayana,Francisco_e_Galetti_(2001),(b) Mashers,3.097345133,8.65,3.262
Alchornea_glandulosa,Turdus_flavipes,Zimmermann_(1996),(a) Gulpers,3.093495935,13.21818182,4.4
Miconia_albicans,Zonotrichia_capensis,Allenspach_e_Dias_(2012),(b) Mashers,3.048780488,9,7.62
Allophylus_edulis,Thraupis_sayaca,Blendinger,(b) Mashers,3.04,12,9.533
Cupania_oblongifolia,Turdus_leucomelas,Correia_(1997),(a) Gulpers,3.03030303,14.1125,11
Myrsine_coriacea,Myiozetetes_similis,Correia_(1997),(a) Gulpers,3.024193548,12.86666667,3.262
Myrsine_coriacea,Coereba_flaveola,Pascotto_(2007),(b) Mashers,3.007518797,5.922222222,3.262
Pera_glabrata,Myiarchus_tyrannulus,Francisco_et_al._(2007),(a) Gulpers,3.005464481,13.8,3.7075
Byrsonima_intermedia,Cyanocorax_chrysops,Gondim_(2002),(a) Gulpers,3,19.5,8.2225
Cinnamomum_glanduliferum,Pitangus_sulphuratus,Blendinger,(a) Gulpers,3,16.35,10
Cupania_vernalis,Mimus_saturninus,Gondim_(2002),(a) Gulpers,3,12.15,8.75
Cupania_vernalis,Pitangus_sulphuratus,Blendinger,(a) Gulpers,3,16.35,8.75
Didymopanax_vinosum,Elaenia_flavogaster,Gondim_(2002),(a) Gulpers,3,10.7,6
Faramea_hyacinthina,Tangara_cayana,Melo_et_al._(2003),(b) Mashers,3,8.65,8.9
Ficus_calyptroceras,Cyanocorax_cyanomelas,Ragusa-Netto,(a) Gulpers,3,20.37,10.1
Ficus_calyptroceras,Ramphastos_toco,Ragusa-Netto,(a) Gulpers,3,33.916,10.1
Ilex_paraguariensis,Molothrus_bonariensis,Colussi_e_Prestes_(2011),(a) Gulpers,3,15.6,6.807
Myrcia_castrensis,Tangara_cayana,Gondim_(2002),(b) Mashers,3,8.65,6.6
Siparuna_guianensis,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,3,14.1125,3.9
Smilax_hispida,Catharus_guttatus,Malmborg_and_Willson,(a) Gulpers,3,11.2,8.3
Struthanthus_concinnus,Elaenia_flavogaster,Guerra_e_Marini_(2002),(a) Gulpers,3,10.7,3.98
Vassobia_breviflora,Myiodynastes_maculatus,Palacio_et_al.,(a) Gulpers,3,15.92,9.96
Virola_sebifera,Tityra_cayana,Gondim_(2002),(a) Gulpers,3,10.9,10.25
Xylopia_aromatica,Elaenia_flavogaster,Gondim_(2002),(a) Gulpers,3,10.7,4.3
Miconia_prasina,Euphonia_violacea,Correia_(1997),(b) Mashers,2.993158495,7.9,6.509425
Miconia_ligustroides,Schistochlamys_ruficapillus,Allenspach_et_al._(2012),(b) Mashers,2.972375691,11.7,5.715
Trema_micrantha,Vireo_olivaceus,Correia_(1997),(a) Gulpers,2.960893855,10.23571429,3.366666667
Phoradendron_ensifolium,Thraupis_sayaca,Di_Pauli,(b) Mashers,2.94,12,6.3
Vassobia_breviflora,Catharus_ustulatus,Palacio_et_al.,(a) Gulpers,2.91,11.1,9.96
Myrsine_coriacea,Tityra_cayana,Pascotto_(2007),(a) Gulpers,2.903225806,10.9,3.262
Frangula_alnus,Erithacus_rubecula,Hampe_2001,(a) Gulpers,2.9,5.3,8
Euterpe_edulis,Turdus_flavipes,C?rtes_(2003),(a) Gulpers,2.891304348,13.21818182,13.3575
Cupania_vernalis,Turdus_rufiventris,Blendinger,(a) Gulpers,2.89,14.50625,8.75
Schefflera_morototoni,Dacnis_lineata,Purifica??o_et_al._(2015),(b) Mashers,2.888513514,8,9.2
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),(a) Gulpers,2.868852459,12.51891892,13.3575
Myrsine_coriacea,Myiodynastes_maculatus,Francisco_e_Galetti_(2001),(a) Gulpers,2.857142857,15.92,3.262
Xylopia_sericea,Tolmomyias_flaviventris,Correia_(1997),(a) Gulpers,2.857142857,9.952941176,7.4
Miconia_stenostachya,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,2.851851852,14.1125,7.4
Amomyrtella_guilii,Thraupis_sayaca,Blendinger,(b) Mashers,2.84,12,10.6
Lacistema_hasslerianum,Antilophia_galeata,Melo_e_Oliveira_(2009),(a) Gulpers,2.819148936,7.3,5.85
Struthanthus_concinnus,Mionectes_rufiventris,Guerra_e_Marini_(2002),(a) Gulpers,2.8,9.2,3.98
Eugenia_uniflora,Turdus_amaurochalinus,Lamberti_et_al._(2012),(a) Gulpers,2.785714286,12.48,18.95
Curatella_americana,Aratinga_aurea,Pascotto_et_al._(2012),(b) Mashers,2.777777778,3.1,13.9275
Miconia_albicans,Sporophila_caerulescens,Allenspach_e_Dias_(2012),(b) Mashers,2.777777778,6.2,7.62
Myrsine_coriacea,Dacnis_cayana,Correia_(1997),(b) Mashers,2.777777778,8.03,3.262
Alchornea_glandulosa,Turdus_leucomelas,Pascotto_(2006),(a) Gulpers,2.772277228,14.1125,4.4
Alchornea_glandulosa,Tersina_viridis,Pascotto_(2006),(b) Mashers,2.745098039,15.2,4.4
Aegiphyla_sellowiana,Pitangus_sulphuratus,Correia_(1997),(a) Gulpers,2.73556231,16.35,7.1
Podocarpus_parlatorei,Arremon_torquatus,Blendinger,(b) Mashers,2.73,9.3,6
Struthanthus_concinnus,Camptostoma_obsoletum,Guerra_e_Marini_(2002),(a) Gulpers,2.714285714,7.08125,3.98
Myrsine_coriacea,Pachyramphus_validus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,2.702702703,15.2125,3.262
Nectandra_megapotamica,Vireo_olivaceus,Krugel_et_al._(2006),(a) Gulpers,2.702702703,10.23571429,8.700666667
Schefflera_morototoni,Ramphocelus_carbo,Purifica??o_et_al._(2015),(b) Mashers,2.692307692,10,9.2
Aegiphyla_sellowiana,Myiozetetes_similis,Correia_(1997),(a) Gulpers,2.669902913,12.86666667,7.1
Davilla_elliptica,Pitangus_sulphuratus,Gondim_(2002),(a) Gulpers,2.666666667,16.35,5.5
Ilex_paraguariensis,Megarynchus_pitangua,Colussi_e_Prestes_(2011),(a) Gulpers,2.666666667,18,6.807
Miconia_prasina,Pipra_chloromeros,Correia_(1997),(a) Gulpers,2.649006623,11,6.509425
Curatella_americana,Myiarchus_swainsoni,Pascotto_et_al._(2012),(a) Gulpers,2.644927536,11.35,13.9275
Curatella_americana,Vireo_olivaceus,Pascotto_et_al._(2012),(a) Gulpers,2.631578947,10.23571429,13.9275
Myrsine_coriacea,Pachyramphus_polychopterus,Correia_(1997),(a) Gulpers,2.631578947,12.35,3.262
Vassobia_breviflora,Zonotrichia_capensis,Palacio_et_al.,(b) Mashers,2.62,9,9.96
Nectandra_megapotamica,Tyrannus_melancholicus,Krugel_et_al._(2006),(a) Gulpers,2.619047619,14.63333333,8.700666667
Eugenia_uniflora,Tangara_cayana,Lamberti_et_al._(2012),(b) Mashers,2.617647059,8.65,18.95
Pera_glabrata,Zonotrichia_capensis,Francisco_et_al._(2007),(b) Mashers,2.60989011,9,3.7075
Cytharexylum_myrianthum,Myiozetetes_similis,Correia_(1997),(a) Gulpers,2.608695652,12.86666667,8.3
Talauma_ovata,Dacnis_cayana,Cazetta_et_al._(2002),(b) Mashers,2.6,8.03,7.3
Struthanthus_concinnus,Hylophilus_amaurocephalus,Guerra_e_Marini_(2002),(a) Gulpers,2.590673575,10.1,3.98
Phoradendron_ensifolium,Euphonia_chlorotica,Di_Pauli,(b) Mashers,2.57,7.07,6.3
Trema_micrantha,Manacus_manacus,Correia_(1997),(a) Gulpers,2.564102564,10.5826087,3.366666667
Eugenia_uniflora,Turdus_leucomelas,Colussi_e_Prestes_(2011),(a) Gulpers,2.557692308,14.1125,18.95
Ocotea_pulchella,Pitangus_sulphuratus,Francisco_e_Galetti_(2002),(a) Gulpers,2.555555556,16.35,6.153
Pera_glabrata,Myiarchus_ferox,Francisco_et_al._(2007),(a) Gulpers,2.525252525,12.43333333,3.7075
Ilex_cerasifolia,Thraupis_sayaca,Gondim_(2002),(b) Mashers,2.52,12,4.9
Podocarpus_parlatorei,Elaenia_obscura,Blendinger,(a) Gulpers,2.52,11.8125,6
Alchornea_glandulosa,Myiodynastes_maculatus,Pascotto_(2006),(a) Gulpers,2.514150943,15.92,4.4
Miconia_albicans,Casiornis_rufus,Gondim_(2002),(a) Gulpers,2.5,10.16,7.62
Miconia_albicans,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,2.5,25,7.62
Plocama_pendula,Cyanistes_caeruleus,Nogales_et_al.,(b) Mashers,2.5,8.3,8.9
Styrax_pohlii,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,2.5,25,7.2
Virola_sebifera,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,2.5,25,10.25
Pera_glabrata,Parula_pitiayumi,Francisco_et_al._(2007),(a) Gulpers,2.48447205,6.2,3.7075
Myrsine_coriacea,Cyclarhis_gujanensis,Pascotto_(2007),(a) Gulpers,2.469135802,11.1,3.262
Doliocarpus_dentatus,Tangara_cayana,Gondim_(2002),(b) Mashers,2.444444444,8.65,6.317807018
Eugenia_uniflora,Thraupis_bonariensis,Colussi_e_Prestes_(2011),(b) Mashers,2.43902439,10.54,18.95
Myrsine_guianensis,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,2.428571429,14.1125,4
Copaifera_langsdorffii,Elaenia_flavogaster,Motta-Jr_e_Lombardi_(1990),(a) Gulpers,2.424242424,10.7,9
Trema_micrantha,Saltator_maximus,Correia_(1997),(b) Mashers,2.402402402,12.7,3.366666667
Euterpe_edulis,Turdus_albicollis,Castro_(2003),(a) Gulpers,2.4,12.51891892,13.3575
Myrsine_coriacea,Pipra_pipra,Correia_(1997),(a) Gulpers,2.4,11,3.262
Curatella_americana,Diopsittaca_nobilis,Pascotto_et_al._(2012),(b) Mashers,2.389078498,21.6,13.9275
Prunus_mahaleb,Erithacus_rubecula,Jordano_and_Schupp,(a) Gulpers,2.38,5.3,7.8
Struthanthus_concinnus,Phaeomyias_murina,Guerra_e_Marini_(2002),(a) Gulpers,2.375,7.2,3.98
Myrsine_laetevirens,Thraupis_sayaca,Blendinger,(b) Mashers,2.37,12,5.6
Michelia_champaca,Megarynchus_pitangua,Oliveira_et_al._(2013),(a) Gulpers,2.358024691,18,8.5
Euterpe_edulis,Turdus_rufiventris,C?rtes_(2003),(a) Gulpers,2.352941176,14.50625,13.3575
Xylopia_sericea,Cyanerpes_cyaneus,Correia_(1997),(b) Mashers,2.34741784,7.458823529,7.4
Pera_glabrata,Turdus_leucomelas,Gondim_(2002),(a) Gulpers,2.333333333,14.1125,3.7075
Xylopia_aromatica,Penelope_superciliaris,Gondim_(2002),(a) Gulpers,2.333333333,25,4.3
Struthanthus_concinnus,Ilicura_militaris,Guerra_e_Marini_(2002),(a) Gulpers,2.33201581,8.6,3.98
Coussarea_hydrangeifolia,Thraupis_sayaca,Gondim_(2002),(b) Mashers,2.314814815,12,7.4
Lacistema_hasslerianum,Coereba_flaveola,Melo_e_Oliveira_(2009),(b) Mashers,2.286764706,5.922222222,5.85
Virola_sebifera,Turdus_amaurochalinus,Gondim_(2002),(a) Gulpers,2.285714286,12.48,10.25
Pera_glabrata,Ramphocelus_carbo,Francisco_et_al._(2007),(b) Mashers,2.272727273,10,3.7075
Prunus_mahaleb,Fringilla_coelebs,Jordano_and_Schupp,(b) Mashers,2.27,15.2,8.8
Euterpe_edulis,Procnias_nudicollis,C?rtes_(2003),(a) Gulpers,2.259036145,22.2,13.3575
Alchornea_glandulosa,Turdus_subalaris,Zimmermann_(1996),(a) Gulpers,2.25,13.5,4.4
Guarea_guidonia,Vireo_olivaceus,Correia_(1997),(a) Gulpers,2.222222222,10.23571429,11
Trema_micrantha,Mionectes_oleagineus,Correia_(1997),(a) Gulpers,2.222222222,9.555555556,3.366666667
Byrsonima_intermedia,Mimus_saturninus,Gondim_(2002),(a) Gulpers,2.2,12.15,8.2225
Siparuna_guianensis,Antilophia_galeata,Silva_and_de_Melo,(a) Gulpers,2.17,7.3,3.9
Miconia_albicans,Tachyphonus_coronatus,Correia_(1997),(b) Mashers,2.160493827,9.77,7.62
Miconia_ligustroides,Zonotrichia_capensis,Allenspach_et_al._(2012),(b) Mashers,2.155172414,9,5.715
Struthanthus_concinnus,Piranga_flava,Guerra_e_Marini_(2002),(b) Mashers,2.153846154,11.7,3.98
Faramea_hyacinthina,Antilophia_galeata,Melo_et_al._(2003),(a) Gulpers,2.150537634,7.3,8.9
Ocotea_pulchella,Empidonomus_varius,Francisco_e_Galetti_(2002),(a) Gulpers,2.150537634,11.5,6.153
Xylopia_aromatica,Myiozetetes_similis,Gondim_(2002),(a) Gulpers,2.142857143,12.86666667,4.3
Ilex_paraguariensis,Thraupis_sayaca,Colussi_e_Prestes_(2011),(b) Mashers,2.136690647,12,6.807
Podocarpus_parlatorei,Microspingus_erythrophrys,Blendinger,(b) Mashers,2.12,5.1,6
Tapirira_guianensis,Cyanocorax_chrysops,Gondim_(2002),(a) Gulpers,2.12,19.5,9.1
Guarea_guidonia,Myiozetetes_similis,Correia_(1997),(a) Gulpers,2.118644068,12.86666667,11
Prunus_mahaleb,Cyanistes_caeruleus,Jordano_and_Schupp,(b) Mashers,2.1,8.3,8.8
Alchornea_glandulosa,Thraupis_palmarum,Zimmermann_(1996),(b) Mashers,2.083333333,12,4.4
Ficus_benghalensis,Psilopogon_zeylanicus,Blendinger,(b) Mashers,2.07,22.08333333,17.5
Talauma_ovata,Tangara_cayana,Cazetta_et_al._(2002),(b) Mashers,2.026785714,8.65,7.3
Myrsine_coriacea,Pipra_rubrocapilla,Correia_(1997),(a) Gulpers,2.02020202,11,3.262
Eugenia_uniflora,Turdus_leucomelas,Lamberti_et_al._(2012),(a) Gulpers,2.016129032,14.1125,18.95
Euterpe_edulis,Procnias_nudicollis,C?rtes_(2003),(a) Gulpers,2.0125,22.2,13.3575
Amaioua_guianensis,Antilophia_galeata,Gondim_(2002),(a) Gulpers,2,7.3,9.573333333
Copaifera_langsdorffii,Pitangus_sulphuratus,Gondim_(2002),(a) Gulpers,2,16.35,9
